,Origin,Dest,Count
0,alternative,alternative,382
1,alternative,blues,12
2,alternative,country,6
3,alternative,dance,136
4,alternative,disco,48
5,alternative,electronic,89
6,alternative,folk,29
7,alternative,indie,137
8,alternative,jazz,45
9,alternative,latin,2
10,alternative,metal,74
11,alternative,pop,300
12,alternative,rap,24
13,alternative,reggae,26
14,alternative,rock,327
15,blues,alternative,12
16,blues,blues,130
17,blues,country,9
18,blues,dance,45
19,blues,disco,32
20,blues,electronic,2
21,blues,folk,10
22,blues,indie,6
23,blues,jazz,48
24,blues,latin,1
25,blues,metal,10
26,blues,pop,63
27,blues,rap,2
28,blues,reggae,7
29,blues,rock,83
30,country,alternative,6
31,country,blues,9
32,country,country,87
33,country,dance,9
34,country,disco,1
35,country,electronic,3
36,country,folk,18
37,country,indie,3
38,country,jazz,2
39,country,pop,39
40,country,rap,3
41,country,rock,44
42,dance,alternative,136
43,dance,blues,45
44,dance,country,9
45,dance,dance,398
46,dance,disco,158
47,dance,electronic,98
48,dance,folk,28
49,dance,indie,79
50,dance,jazz,100
51,dance,latin,8
52,dance,metal,45
53,dance,pop,311
54,dance,rap,29
55,dance,reggae,48
56,dance,rock,286
57,disco,alternative,48
58,disco,blues,32
59,disco,country,1
60,disco,dance,158
61,disco,disco,236
62,disco,electronic,50
63,disco,folk,4
64,disco,indie,32
65,disco,jazz,89
66,disco,latin,5
67,disco,metal,6
68,disco,pop,172
69,disco,rap,23
70,disco,reggae,9
71,disco,rock,127
72,electronic,alternative,89
73,electronic,blues,2
74,electronic,country,3
75,electronic,dance,98
76,electronic,disco,50
77,electronic,electronic,214
78,electronic,folk,11
79,electronic,indie,50
80,electronic,jazz,45
81,electronic,metal,17
82,electronic,pop,181
83,electronic,rap,14
84,electronic,reggae,6
85,electronic,rock,148
86,folk,alternative,29
87,folk,blues,10
88,folk,country,18
89,folk,dance,28
90,folk,disco,4
91,folk,electronic,11
92,folk,folk,124
93,folk,indie,22
94,folk,jazz,18
95,folk,latin,1
96,folk,metal,21
97,folk,pop,69
98,folk,rock,75
99,indie,alternative,137
100,indie,blues,6
101,indie,country,3
102,indie,dance,79
103,indie,disco,32
104,indie,electronic,50
105,indie,folk,22
106,indie,indie,223
107,indie,jazz,28
108,indie,latin,2
109,indie,metal,41
110,indie,pop,171
111,indie,rap,24
112,indie,reggae,14
113,indie,rock,185
114,jazz,alternative,45
115,jazz,blues,48
116,jazz,country,2
117,jazz,dance,100
118,jazz,disco,89
119,jazz,electronic,45
120,jazz,folk,18
121,jazz,indie,28
122,jazz,jazz,302
123,jazz,latin,6
124,jazz,metal,32
125,jazz,pop,141
126,jazz,rap,11
127,jazz,reggae,28
128,jazz,rock,147
129,latin,alternative,2
130,latin,blues,1
131,latin,dance,8
132,latin,disco,5
133,latin,folk,1
134,latin,indie,2
135,latin,jazz,6
136,latin,latin,24
137,latin,pop,14
138,latin,rap,4
139,latin,reggae,6
140,latin,rock,15
141,metal,alternative,74
142,metal,blues,10
143,metal,dance,45
144,metal,disco,6
145,metal,electronic,17
146,metal,folk,21
147,metal,indie,41
148,metal,jazz,32
149,metal,metal,232
150,metal,pop,118
151,metal,rap,10
152,metal,reggae,16
153,metal,rock,215
154,pop,alternative,300
155,pop,blues,63
156,pop,country,39
157,pop,dance,311
158,pop,disco,172
159,pop,electronic,181
160,pop,folk,69
161,pop,indie,171
162,pop,jazz,141
163,pop,latin,14
164,pop,metal,118
165,pop,pop,941
166,pop,rap,49
167,pop,reggae,57
168,pop,rock,676
169,rap,alternative,24
170,rap,blues,2
171,rap,country,3
172,rap,dance,29
173,rap,disco,23
174,rap,electronic,14
175,rap,indie,24
176,rap,jazz,11
177,rap,latin,4
178,rap,metal,10
179,rap,pop,49
180,rap,rap,79
181,rap,reggae,9
182,rap,rock,59
183,reggae,alternative,26
184,reggae,blues,7
185,reggae,dance,48
186,reggae,disco,9
187,reggae,electronic,6
188,reggae,indie,14
189,reggae,jazz,28
190,reggae,latin,6
191,reggae,metal,16
192,reggae,pop,57
193,reggae,rap,9
194,reggae,reggae,203
195,reggae,rock,87
196,rock,alternative,327
197,rock,blues,83
198,rock,country,44
199,rock,dance,286
200,rock,disco,127
201,rock,electronic,148
202,rock,folk,75
203,rock,indie,185
204,rock,jazz,147
205,rock,latin,15
206,rock,metal,215
207,rock,pop,676
208,rock,rap,59
209,rock,reggae,87
210,rock,rock,1339
