,Origin,Dest,Count
0,alternative,alternative,1199
1,alternative,blues,113
2,alternative,country,41
3,alternative,dance,191
4,alternative,disco,46
5,alternative,electronic,196
6,alternative,folk,157
7,alternative,indie,531
8,alternative,jazz,174
9,alternative,latin,26
10,alternative,metal,223
11,alternative,pop,596
12,alternative,rap,104
13,alternative,reggae,14
14,alternative,rock,1024
15,blues,alternative,113
16,blues,blues,711
17,blues,country,44
18,blues,dance,40
19,blues,disco,19
20,blues,electronic,30
21,blues,folk,89
22,blues,indie,83
23,blues,jazz,155
24,blues,latin,8
25,blues,metal,34
26,blues,pop,167
27,blues,rap,34
28,blues,reggae,4
29,blues,rock,317
30,country,alternative,41
31,country,blues,44
32,country,country,403
33,country,dance,37
34,country,disco,9
35,country,electronic,6
36,country,folk,50
37,country,indie,27
38,country,jazz,21
39,country,latin,2
40,country,metal,11
41,country,pop,64
42,country,rap,5
43,country,reggae,2
44,country,rock,131
45,dance,alternative,191
46,dance,blues,40
47,dance,country,37
48,dance,dance,750
49,dance,disco,106
50,dance,electronic,280
51,dance,folk,24
52,dance,indie,115
53,dance,jazz,156
54,dance,latin,17
55,dance,metal,62
56,dance,pop,355
57,dance,rap,82
58,dance,reggae,62
59,dance,rock,323
60,disco,alternative,46
61,disco,blues,19
62,disco,country,9
63,disco,dance,106
64,disco,disco,175
65,disco,electronic,69
66,disco,folk,11
67,disco,indie,33
68,disco,jazz,59
69,disco,latin,5
70,disco,metal,16
71,disco,pop,122
72,disco,rap,21
73,disco,reggae,1
74,disco,rock,71
75,electronic,alternative,196
76,electronic,blues,30
77,electronic,country,6
78,electronic,dance,280
79,electronic,disco,69
80,electronic,electronic,756
81,electronic,folk,19
82,electronic,indie,117
83,electronic,jazz,193
84,electronic,latin,5
85,electronic,metal,98
86,electronic,pop,276
87,electronic,rap,59
88,electronic,reggae,6
89,electronic,rock,299
90,folk,alternative,157
91,folk,blues,89
92,folk,country,50
93,folk,dance,24
94,folk,disco,11
95,folk,electronic,19
96,folk,folk,405
97,folk,indie,125
98,folk,jazz,58
99,folk,latin,22
100,folk,metal,42
101,folk,pop,172
102,folk,rap,7
103,folk,reggae,3
104,folk,rock,253
105,indie,alternative,531
106,indie,blues,83
107,indie,country,27
108,indie,dance,115
109,indie,disco,33
110,indie,electronic,117
111,indie,folk,125
112,indie,indie,808
113,indie,jazz,94
114,indie,latin,11
115,indie,metal,69
116,indie,pop,481
117,indie,rap,44
118,indie,reggae,5
119,indie,rock,661
120,jazz,alternative,174
121,jazz,blues,155
122,jazz,country,21
123,jazz,dance,156
124,jazz,disco,59
125,jazz,electronic,193
126,jazz,folk,58
127,jazz,indie,94
128,jazz,jazz,1083
129,jazz,latin,44
130,jazz,metal,42
131,jazz,pop,230
132,jazz,rap,86
133,jazz,reggae,14
134,jazz,rock,255
135,latin,alternative,26
136,latin,blues,8
137,latin,country,2
138,latin,dance,17
139,latin,disco,5
140,latin,electronic,5
141,latin,folk,22
142,latin,indie,11
143,latin,jazz,44
144,latin,latin,185
145,latin,metal,8
146,latin,pop,72
147,latin,rap,8
148,latin,reggae,16
149,latin,rock,86
150,metal,alternative,223
151,metal,blues,34
152,metal,country,11
153,metal,dance,62
154,metal,disco,16
155,metal,electronic,98
156,metal,folk,42
157,metal,indie,69
158,metal,jazz,42
159,metal,latin,8
160,metal,metal,902
161,metal,pop,107
162,metal,rap,48
163,metal,reggae,8
164,metal,rock,532
165,pop,alternative,596
166,pop,blues,167
167,pop,country,64
168,pop,dance,355
169,pop,disco,122
170,pop,electronic,276
171,pop,folk,172
172,pop,indie,481
173,pop,jazz,230
174,pop,latin,72
175,pop,metal,107
176,pop,pop,1663
177,pop,rap,106
178,pop,reggae,33
179,pop,rock,1010
180,rap,alternative,104
181,rap,blues,34
182,rap,country,5
183,rap,dance,82
184,rap,disco,21
185,rap,electronic,59
186,rap,folk,7
187,rap,indie,44
188,rap,jazz,86
189,rap,latin,8
190,rap,metal,48
191,rap,pop,106
192,rap,rap,375
193,rap,reggae,23
194,rap,rock,150
195,reggae,alternative,14
196,reggae,blues,4
197,reggae,country,2
198,reggae,dance,62
199,reggae,disco,1
200,reggae,electronic,6
201,reggae,folk,3
202,reggae,indie,5
203,reggae,jazz,14
204,reggae,latin,16
205,reggae,metal,8
206,reggae,pop,33
207,reggae,rap,23
208,reggae,reggae,210
209,reggae,rock,86
210,rock,alternative,1024
211,rock,blues,317
212,rock,country,131
213,rock,dance,323
214,rock,disco,71
215,rock,electronic,299
216,rock,folk,253
217,rock,indie,661
218,rock,jazz,255
219,rock,latin,86
220,rock,metal,532
221,rock,pop,1010
222,rock,rap,150
223,rock,reggae,86
224,rock,rock,3047
