,Origin,Dest,Count
0,alternative,alternative,10
1,alternative,blues,10
2,alternative,country,5
3,alternative,dance,5
4,alternative,folk,7
5,alternative,jazz,2
6,alternative,pop,2
7,alternative,rap,3
8,alternative,rock,8
9,blues,alternative,10
10,blues,blues,205
11,blues,country,33
12,blues,dance,67
13,blues,electronic,3
14,blues,folk,20
15,blues,jazz,92
16,blues,latin,2
17,blues,metal,3
18,blues,pop,100
19,blues,rap,5
20,blues,rock,143
21,country,alternative,5
22,country,blues,33
23,country,country,73
24,country,dance,13
25,country,folk,26
26,country,indie,1
27,country,jazz,6
28,country,pop,33
29,country,rock,50
30,dance,alternative,5
31,dance,blues,67
32,dance,country,13
33,dance,dance,102
34,dance,electronic,3
35,dance,folk,4
36,dance,jazz,31
37,dance,metal,1
38,dance,pop,88
39,dance,rap,3
40,dance,reggae,2
41,dance,rock,92
42,disco,disco,1
43,disco,jazz,1
44,disco,metal,1
45,disco,pop,1
46,electronic,blues,3
47,electronic,dance,3
48,electronic,electronic,3
49,electronic,pop,3
50,electronic,rock,3
51,folk,alternative,7
52,folk,blues,20
53,folk,country,26
54,folk,dance,4
55,folk,folk,43
56,folk,jazz,9
57,folk,latin,1
58,folk,pop,10
59,folk,rock,26
60,indie,country,1
61,indie,indie,1
62,indie,jazz,1
63,indie,pop,1
64,jazz,alternative,2
65,jazz,blues,92
66,jazz,country,6
67,jazz,dance,31
68,jazz,disco,1
69,jazz,folk,9
70,jazz,indie,1
71,jazz,jazz,238
72,jazz,latin,4
73,jazz,metal,7
74,jazz,pop,68
75,jazz,rap,7
76,jazz,reggae,2
77,jazz,rock,64
78,latin,blues,2
79,latin,folk,1
80,latin,jazz,4
81,latin,latin,4
82,latin,rock,3
83,metal,blues,3
84,metal,dance,1
85,metal,disco,1
86,metal,jazz,7
87,metal,metal,8
88,metal,pop,2
89,metal,rap,4
90,metal,rock,7
91,pop,alternative,2
92,pop,blues,100
93,pop,country,33
94,pop,dance,88
95,pop,disco,1
96,pop,electronic,3
97,pop,folk,10
98,pop,indie,1
99,pop,jazz,68
100,pop,metal,2
101,pop,pop,174
102,pop,rap,2
103,pop,reggae,2
104,pop,rock,129
105,rap,alternative,3
106,rap,blues,5
107,rap,dance,3
108,rap,jazz,7
109,rap,metal,4
110,rap,pop,2
111,rap,rap,10
112,rap,rock,9
113,reggae,dance,2
114,reggae,jazz,2
115,reggae,pop,2
116,reggae,reggae,2
117,rock,alternative,8
118,rock,blues,143
119,rock,country,50
120,rock,dance,92
121,rock,electronic,3
122,rock,folk,26
123,rock,jazz,64
124,rock,latin,3
125,rock,metal,7
126,rock,pop,129
127,rock,rap,9
128,rock,rock,217
