,Origin,Dest,Count
0,alternative,alternative,1673
1,alternative,blues,69
2,alternative,country,65
3,alternative,dance,269
4,alternative,disco,77
5,alternative,electronic,346
6,alternative,folk,252
7,alternative,indie,725
8,alternative,jazz,169
9,alternative,latin,33
10,alternative,metal,367
11,alternative,pop,834
12,alternative,rap,206
13,alternative,reggae,36
14,alternative,rock,1398
15,blues,alternative,69
16,blues,blues,550
17,blues,country,47
18,blues,dance,61
19,blues,disco,24
20,blues,electronic,33
21,blues,folk,59
22,blues,indie,50
23,blues,jazz,140
24,blues,latin,11
25,blues,metal,25
26,blues,pop,160
27,blues,rap,50
28,blues,reggae,6
29,blues,rock,223
30,country,alternative,65
31,country,blues,47
32,country,country,550
33,country,dance,36
34,country,disco,13
35,country,electronic,15
36,country,folk,122
37,country,indie,92
38,country,jazz,21
39,country,latin,7
40,country,metal,9
41,country,pop,139
42,country,rap,21
43,country,reggae,4
44,country,rock,198
45,dance,alternative,269
46,dance,blues,61
47,dance,country,36
48,dance,dance,1324
49,dance,disco,180
50,dance,electronic,559
51,dance,folk,85
52,dance,indie,169
53,dance,jazz,201
54,dance,latin,87
55,dance,metal,89
56,dance,pop,617
57,dance,rap,149
58,dance,reggae,126
59,dance,rock,462
60,disco,alternative,77
61,disco,blues,24
62,disco,country,13
63,disco,dance,180
64,disco,disco,334
65,disco,electronic,129
66,disco,folk,37
67,disco,indie,66
68,disco,jazz,58
69,disco,latin,21
70,disco,metal,30
71,disco,pop,171
72,disco,rap,40
73,disco,reggae,4
74,disco,rock,130
75,electronic,alternative,346
76,electronic,blues,33
77,electronic,country,15
78,electronic,dance,559
79,electronic,disco,129
80,electronic,electronic,1576
81,electronic,folk,59
82,electronic,indie,245
83,electronic,jazz,372
84,electronic,latin,64
85,electronic,metal,139
86,electronic,pop,509
87,electronic,rap,119
88,electronic,reggae,26
89,electronic,rock,468
90,folk,alternative,252
91,folk,blues,59
92,folk,country,122
93,folk,dance,85
94,folk,disco,37
95,folk,electronic,59
96,folk,folk,845
97,folk,indie,252
98,folk,jazz,68
99,folk,latin,43
100,folk,metal,113
101,folk,pop,297
102,folk,rap,21
103,folk,reggae,14
104,folk,rock,422
105,indie,alternative,725
106,indie,blues,50
107,indie,country,92
108,indie,dance,169
109,indie,disco,66
110,indie,electronic,245
111,indie,folk,252
112,indie,indie,1229
113,indie,jazz,112
114,indie,latin,15
115,indie,metal,106
116,indie,pop,669
117,indie,rap,105
118,indie,reggae,25
119,indie,rock,909
120,jazz,alternative,169
121,jazz,blues,140
122,jazz,country,21
123,jazz,dance,201
124,jazz,disco,58
125,jazz,electronic,372
126,jazz,folk,68
127,jazz,indie,112
128,jazz,jazz,1531
129,jazz,latin,111
130,jazz,metal,63
131,jazz,pop,269
132,jazz,rap,117
133,jazz,reggae,24
134,jazz,rock,305
135,latin,alternative,33
136,latin,blues,11
137,latin,country,7
138,latin,dance,87
139,latin,disco,21
140,latin,electronic,64
141,latin,folk,43
142,latin,indie,15
143,latin,jazz,111
144,latin,latin,432
145,latin,metal,20
146,latin,pop,146
147,latin,rap,24
148,latin,reggae,13
149,latin,rock,118
150,metal,alternative,367
151,metal,blues,25
152,metal,country,9
153,metal,dance,89
154,metal,disco,30
155,metal,electronic,139
156,metal,folk,113
157,metal,indie,106
158,metal,jazz,63
159,metal,latin,20
160,metal,metal,1800
161,metal,pop,176
162,metal,rap,146
163,metal,reggae,10
164,metal,rock,953
165,pop,alternative,834
166,pop,blues,160
167,pop,country,139
168,pop,dance,617
169,pop,disco,171
170,pop,electronic,509
171,pop,folk,297
172,pop,indie,669
173,pop,jazz,269
174,pop,latin,146
175,pop,metal,176
176,pop,pop,2667
177,pop,rap,179
178,pop,reggae,69
179,pop,rock,1422
180,rap,alternative,206
181,rap,blues,50
182,rap,country,21
183,rap,dance,149
184,rap,disco,40
185,rap,electronic,119
186,rap,folk,21
187,rap,indie,105
188,rap,jazz,117
189,rap,latin,24
190,rap,metal,146
191,rap,pop,179
192,rap,rap,759
193,rap,reggae,37
194,rap,rock,279
195,reggae,alternative,36
196,reggae,blues,6
197,reggae,country,4
198,reggae,dance,126
199,reggae,disco,4
200,reggae,electronic,26
201,reggae,folk,14
202,reggae,indie,25
203,reggae,jazz,24
204,reggae,latin,13
205,reggae,metal,10
206,reggae,pop,69
207,reggae,rap,37
208,reggae,reggae,348
209,reggae,rock,106
210,rock,alternative,1398
211,rock,blues,223
212,rock,country,198
213,rock,dance,462
214,rock,disco,130
215,rock,electronic,468
216,rock,folk,422
217,rock,indie,909
218,rock,jazz,305
219,rock,latin,118
220,rock,metal,953
221,rock,pop,1422
222,rock,rap,279
223,rock,reggae,106
224,rock,rock,4323
