,Origin,Dest,Count
0,alternative,alternative,76
1,alternative,blues,13
2,alternative,country,6
3,alternative,dance,14
4,alternative,disco,5
5,alternative,electronic,5
6,alternative,folk,14
7,alternative,indie,19
8,alternative,jazz,14
9,alternative,latin,2
10,alternative,metal,17
11,alternative,pop,59
12,alternative,rap,6
13,alternative,reggae,4
14,alternative,rock,72
15,blues,alternative,13
16,blues,blues,286
17,blues,country,14
18,blues,dance,55
19,blues,disco,42
20,blues,electronic,5
21,blues,folk,31
22,blues,indie,14
23,blues,jazz,106
24,blues,latin,2
25,blues,metal,24
26,blues,pop,104
27,blues,rap,15
28,blues,reggae,9
29,blues,rock,186
30,country,alternative,6
31,country,blues,14
32,country,country,86
33,country,dance,6
34,country,electronic,3
35,country,folk,40
36,country,indie,9
37,country,jazz,6
38,country,metal,1
39,country,pop,26
40,country,rap,2
41,country,reggae,4
42,country,rock,46
43,dance,alternative,14
44,dance,blues,55
45,dance,country,6
46,dance,dance,206
47,dance,disco,99
48,dance,electronic,16
49,dance,folk,15
50,dance,indie,11
51,dance,jazz,86
52,dance,latin,7
53,dance,metal,14
54,dance,pop,126
55,dance,rap,12
56,dance,reggae,20
57,dance,rock,133
58,disco,alternative,5
59,disco,blues,42
60,disco,dance,99
61,disco,disco,229
62,disco,electronic,10
63,disco,folk,11
64,disco,indie,3
65,disco,jazz,119
66,disco,latin,10
67,disco,metal,7
68,disco,pop,146
69,disco,rap,4
70,disco,reggae,1
71,disco,rock,106
72,electronic,alternative,5
73,electronic,blues,5
74,electronic,country,3
75,electronic,dance,16
76,electronic,disco,10
77,electronic,electronic,48
78,electronic,folk,4
79,electronic,indie,3
80,electronic,jazz,14
81,electronic,latin,1
82,electronic,metal,3
83,electronic,pop,25
84,electronic,rap,2
85,electronic,reggae,4
86,electronic,rock,39
87,folk,alternative,14
88,folk,blues,31
89,folk,country,40
90,folk,dance,15
91,folk,disco,11
92,folk,electronic,4
93,folk,folk,155
94,folk,indie,13
95,folk,jazz,14
96,folk,latin,5
97,folk,metal,4
98,folk,pop,61
99,folk,rap,9
100,folk,reggae,4
101,folk,rock,117
102,indie,alternative,19
103,indie,blues,14
104,indie,country,9
105,indie,dance,11
106,indie,disco,3
107,indie,electronic,3
108,indie,folk,13
109,indie,indie,42
110,indie,jazz,18
111,indie,latin,2
112,indie,metal,5
113,indie,pop,29
114,indie,rap,6
115,indie,reggae,12
116,indie,rock,33
117,jazz,alternative,14
118,jazz,blues,106
119,jazz,country,6
120,jazz,dance,86
121,jazz,disco,119
122,jazz,electronic,14
123,jazz,folk,14
124,jazz,indie,18
125,jazz,jazz,447
126,jazz,latin,20
127,jazz,metal,12
128,jazz,pop,134
129,jazz,rap,4
130,jazz,reggae,10
131,jazz,rock,185
132,latin,alternative,2
133,latin,blues,2
134,latin,dance,7
135,latin,disco,10
136,latin,electronic,1
137,latin,folk,5
138,latin,indie,2
139,latin,jazz,20
140,latin,latin,54
141,latin,metal,1
142,latin,pop,11
143,latin,rap,3
144,latin,reggae,2
145,latin,rock,11
146,metal,alternative,17
147,metal,blues,24
148,metal,country,1
149,metal,dance,14
150,metal,disco,7
151,metal,electronic,3
152,metal,folk,4
153,metal,indie,5
154,metal,jazz,12
155,metal,latin,1
156,metal,metal,110
157,metal,pop,48
158,metal,rap,5
159,metal,reggae,1
160,metal,rock,109
161,pop,alternative,59
162,pop,blues,104
163,pop,country,26
164,pop,dance,126
165,pop,disco,146
166,pop,electronic,25
167,pop,folk,61
168,pop,indie,29
169,pop,jazz,134
170,pop,latin,11
171,pop,metal,48
172,pop,pop,516
173,pop,rap,14
174,pop,reggae,15
175,pop,rock,397
176,rap,alternative,6
177,rap,blues,15
178,rap,country,2
179,rap,dance,12
180,rap,disco,4
181,rap,electronic,2
182,rap,folk,9
183,rap,indie,6
184,rap,jazz,4
185,rap,latin,3
186,rap,metal,5
187,rap,pop,14
188,rap,rap,32
189,rap,reggae,2
190,rap,rock,22
191,reggae,alternative,4
192,reggae,blues,9
193,reggae,country,4
194,reggae,dance,20
195,reggae,disco,1
196,reggae,electronic,4
197,reggae,folk,4
198,reggae,indie,12
199,reggae,jazz,10
200,reggae,latin,2
201,reggae,metal,1
202,reggae,pop,15
203,reggae,rap,2
204,reggae,reggae,69
205,reggae,rock,39
206,rock,alternative,72
207,rock,blues,186
208,rock,country,46
209,rock,dance,133
210,rock,disco,106
211,rock,electronic,39
212,rock,folk,117
213,rock,indie,33
214,rock,jazz,185
215,rock,latin,11
216,rock,metal,109
217,rock,pop,397
218,rock,rap,22
219,rock,reggae,39
220,rock,rock,1023
