,Origin,Dest,Count
0,alternative,alternative,99
1,alternative,blues,37
2,alternative,country,9
3,alternative,dance,11
4,alternative,disco,2
5,alternative,electronic,8
6,alternative,folk,40
7,alternative,indie,32
8,alternative,jazz,21
9,alternative,latin,3
10,alternative,metal,34
11,alternative,pop,82
12,alternative,rap,7
13,alternative,rock,96
14,blues,alternative,37
15,blues,blues,494
16,blues,country,64
17,blues,dance,74
18,blues,disco,46
19,blues,electronic,15
20,blues,folk,100
21,blues,indie,18
22,blues,jazz,133
23,blues,latin,11
24,blues,metal,78
25,blues,pop,232
26,blues,rap,20
27,blues,reggae,12
28,blues,rock,405
29,country,alternative,9
30,country,blues,64
31,country,country,186
32,country,dance,34
33,country,disco,3
34,country,electronic,2
35,country,folk,93
36,country,indie,11
37,country,jazz,14
38,country,latin,9
39,country,metal,6
40,country,pop,95
41,country,rap,9
42,country,reggae,4
43,country,rock,128
44,dance,alternative,11
45,dance,blues,74
46,dance,country,34
47,dance,dance,172
48,dance,disco,33
49,dance,electronic,17
50,dance,folk,48
51,dance,indie,17
52,dance,jazz,79
53,dance,latin,5
54,dance,metal,16
55,dance,pop,130
56,dance,rap,11
57,dance,reggae,13
58,dance,rock,143
59,disco,alternative,2
60,disco,blues,46
61,disco,country,3
62,disco,dance,33
63,disco,disco,61
64,disco,electronic,1
65,disco,folk,5
66,disco,indie,3
67,disco,jazz,33
68,disco,latin,1
69,disco,metal,1
70,disco,pop,48
71,disco,rap,1
72,disco,rock,46
73,electronic,alternative,8
74,electronic,blues,15
75,electronic,country,2
76,electronic,dance,17
77,electronic,disco,1
78,electronic,electronic,44
79,electronic,folk,3
80,electronic,indie,6
81,electronic,jazz,19
82,electronic,metal,12
83,electronic,pop,29
84,electronic,rap,4
85,electronic,rock,29
86,folk,alternative,40
87,folk,blues,100
88,folk,country,93
89,folk,dance,48
90,folk,disco,5
91,folk,electronic,3
92,folk,folk,323
93,folk,indie,34
94,folk,jazz,29
95,folk,latin,11
96,folk,metal,14
97,folk,pop,177
98,folk,rap,23
99,folk,reggae,6
100,folk,rock,275
101,indie,alternative,32
102,indie,blues,18
103,indie,country,11
104,indie,dance,17
105,indie,disco,3
106,indie,electronic,6
107,indie,folk,34
108,indie,indie,67
109,indie,jazz,17
110,indie,latin,1
111,indie,metal,5
112,indie,pop,55
113,indie,rap,5
114,indie,reggae,3
115,indie,rock,66
116,jazz,alternative,21
117,jazz,blues,133
118,jazz,country,14
119,jazz,dance,79
120,jazz,disco,33
121,jazz,electronic,19
122,jazz,folk,29
123,jazz,indie,17
124,jazz,jazz,298
125,jazz,latin,13
126,jazz,metal,27
127,jazz,pop,116
128,jazz,rap,6
129,jazz,reggae,8
130,jazz,rock,157
131,latin,alternative,3
132,latin,blues,11
133,latin,country,9
134,latin,dance,5
135,latin,disco,1
136,latin,folk,11
137,latin,indie,1
138,latin,jazz,13
139,latin,latin,35
140,latin,pop,22
141,latin,rock,16
142,metal,alternative,34
143,metal,blues,78
144,metal,country,6
145,metal,dance,16
146,metal,disco,1
147,metal,electronic,12
148,metal,folk,14
149,metal,indie,5
150,metal,jazz,27
151,metal,metal,128
152,metal,pop,67
153,metal,rap,8
154,metal,rock,126
155,pop,alternative,82
156,pop,blues,232
157,pop,country,95
158,pop,dance,130
159,pop,disco,48
160,pop,electronic,29
161,pop,folk,177
162,pop,indie,55
163,pop,jazz,116
164,pop,latin,22
165,pop,metal,67
166,pop,pop,564
167,pop,rap,27
168,pop,reggae,14
169,pop,rock,467
170,rap,alternative,7
171,rap,blues,20
172,rap,country,9
173,rap,dance,11
174,rap,disco,1
175,rap,electronic,4
176,rap,folk,23
177,rap,indie,5
178,rap,jazz,6
179,rap,metal,8
180,rap,pop,27
181,rap,rap,44
182,rap,reggae,3
183,rap,rock,38
184,reggae,blues,12
185,reggae,country,4
186,reggae,dance,13
187,reggae,folk,6
188,reggae,indie,3
189,reggae,jazz,8
190,reggae,pop,14
191,reggae,rap,3
192,reggae,reggae,53
193,reggae,rock,38
194,rock,alternative,96
195,rock,blues,405
196,rock,country,128
197,rock,dance,143
198,rock,disco,46
199,rock,electronic,29
200,rock,folk,275
201,rock,indie,66
202,rock,jazz,157
203,rock,latin,16
204,rock,metal,126
205,rock,pop,467
206,rock,rap,38
207,rock,reggae,38
208,rock,rock,1069
