,Origin,Dest,Count
0,alternative,alternative,737
1,alternative,blues,26
2,alternative,country,22
3,alternative,dance,153
4,alternative,disco,67
5,alternative,electronic,226
6,alternative,folk,114
7,alternative,indie,423
8,alternative,jazz,37
9,alternative,latin,9
10,alternative,metal,53
11,alternative,pop,358
12,alternative,rap,31
13,alternative,reggae,5
14,alternative,rock,524
15,blues,alternative,26
16,blues,blues,149
17,blues,country,2
18,blues,dance,21
19,blues,disco,6
20,blues,electronic,16
21,blues,folk,16
22,blues,indie,31
23,blues,jazz,19
24,blues,latin,3
25,blues,metal,6
26,blues,pop,38
27,blues,rap,8
28,blues,reggae,1
29,blues,rock,80
30,country,alternative,22
31,country,blues,2
32,country,country,126
33,country,dance,8
34,country,electronic,2
35,country,folk,23
36,country,indie,31
37,country,latin,1
38,country,pop,25
39,country,rock,44
40,dance,alternative,153
41,dance,blues,21
42,dance,country,8
43,dance,dance,558
44,dance,disco,99
45,dance,electronic,322
46,dance,folk,41
47,dance,indie,204
48,dance,jazz,38
49,dance,latin,9
50,dance,metal,18
51,dance,pop,289
52,dance,rap,49
53,dance,reggae,17
54,dance,rock,197
55,disco,alternative,67
56,disco,blues,6
57,disco,dance,99
58,disco,disco,160
59,disco,electronic,109
60,disco,folk,5
61,disco,indie,99
62,disco,jazz,6
63,disco,metal,4
64,disco,pop,103
65,disco,rap,14
66,disco,reggae,3
67,disco,rock,60
68,electronic,alternative,226
69,electronic,blues,16
70,electronic,country,2
71,electronic,dance,322
72,electronic,disco,109
73,electronic,electronic,921
74,electronic,folk,45
75,electronic,indie,343
76,electronic,jazz,82
77,electronic,latin,6
78,electronic,metal,20
79,electronic,pop,397
80,electronic,rap,44
81,electronic,reggae,4
82,electronic,rock,276
83,folk,alternative,114
84,folk,blues,16
85,folk,country,23
86,folk,dance,41
87,folk,disco,5
88,folk,electronic,45
89,folk,folk,406
90,folk,indie,193
91,folk,jazz,15
92,folk,latin,7
93,folk,metal,69
94,folk,pop,131
95,folk,rap,5
96,folk,reggae,1
97,folk,rock,175
98,indie,alternative,423
99,indie,blues,31
100,indie,country,31
101,indie,dance,204
102,indie,disco,99
103,indie,electronic,343
104,indie,folk,193
105,indie,indie,1180
106,indie,jazz,30
107,indie,latin,5
108,indie,metal,17
109,indie,pop,600
110,indie,rap,35
111,indie,reggae,6
112,indie,rock,725
113,jazz,alternative,37
114,jazz,blues,19
115,jazz,dance,38
116,jazz,disco,6
117,jazz,electronic,82
118,jazz,folk,15
119,jazz,indie,30
120,jazz,jazz,311
121,jazz,latin,11
122,jazz,metal,11
123,jazz,pop,76
124,jazz,rap,7
125,jazz,reggae,3
126,jazz,rock,49
127,latin,alternative,9
128,latin,blues,3
129,latin,country,1
130,latin,dance,9
131,latin,electronic,6
132,latin,folk,7
133,latin,indie,5
134,latin,jazz,11
135,latin,latin,46
136,latin,metal,4
137,latin,pop,26
138,latin,rap,4
139,latin,reggae,4
140,latin,rock,10
141,metal,alternative,53
142,metal,blues,6
143,metal,dance,18
144,metal,disco,4
145,metal,electronic,20
146,metal,folk,69
147,metal,indie,17
148,metal,jazz,11
149,metal,latin,4
150,metal,metal,665
151,metal,pop,47
152,metal,rap,6
153,metal,rock,226
154,pop,alternative,358
155,pop,blues,38
156,pop,country,25
157,pop,dance,289
158,pop,disco,103
159,pop,electronic,397
160,pop,folk,131
161,pop,indie,600
162,pop,jazz,76
163,pop,latin,26
164,pop,metal,47
165,pop,pop,1236
166,pop,rap,65
167,pop,reggae,7
168,pop,rock,598
169,rap,alternative,31
170,rap,blues,8
171,rap,dance,49
172,rap,disco,14
173,rap,electronic,44
174,rap,folk,5
175,rap,indie,35
176,rap,jazz,7
177,rap,latin,4
178,rap,metal,6
179,rap,pop,65
180,rap,rap,130
181,rap,reggae,4
182,rap,rock,45
183,reggae,alternative,5
184,reggae,blues,1
185,reggae,dance,17
186,reggae,disco,3
187,reggae,electronic,4
188,reggae,folk,1
189,reggae,indie,6
190,reggae,jazz,3
191,reggae,latin,4
192,reggae,pop,7
193,reggae,rap,4
194,reggae,reggae,46
195,reggae,rock,7
196,rock,alternative,524
197,rock,blues,80
198,rock,country,44
199,rock,dance,197
200,rock,disco,60
201,rock,electronic,276
202,rock,folk,175
203,rock,indie,725
204,rock,jazz,49
205,rock,latin,10
206,rock,metal,226
207,rock,pop,598
208,rock,rap,45
209,rock,reggae,7
210,rock,rock,1749
