,Origin,Dest,Count
0,alternative,alternative,1292
1,alternative,blues,91
2,alternative,country,49
3,alternative,dance,233
4,alternative,disco,56
5,alternative,electronic,275
6,alternative,folk,121
7,alternative,indie,594
8,alternative,jazz,119
9,alternative,latin,26
10,alternative,metal,242
11,alternative,pop,661
12,alternative,rap,102
13,alternative,reggae,34
14,alternative,rock,1113
15,blues,alternative,91
16,blues,blues,706
17,blues,country,51
18,blues,dance,68
19,blues,disco,19
20,blues,electronic,32
21,blues,folk,47
22,blues,indie,56
23,blues,jazz,135
24,blues,latin,12
25,blues,metal,38
26,blues,pop,173
27,blues,rap,35
28,blues,reggae,3
29,blues,rock,305
30,country,alternative,49
31,country,blues,51
32,country,country,436
33,country,dance,39
34,country,disco,10
35,country,electronic,5
36,country,folk,73
37,country,indie,43
38,country,jazz,13
39,country,latin,2
40,country,metal,9
41,country,pop,113
42,country,rap,5
43,country,reggae,2
44,country,rock,168
45,dance,alternative,233
46,dance,blues,68
47,dance,country,39
48,dance,dance,869
49,dance,disco,120
50,dance,electronic,358
51,dance,folk,49
52,dance,indie,138
53,dance,jazz,173
54,dance,latin,46
55,dance,metal,58
56,dance,pop,450
57,dance,rap,67
58,dance,reggae,70
59,dance,rock,392
60,disco,alternative,56
61,disco,blues,19
62,disco,country,10
63,disco,dance,120
64,disco,disco,221
65,disco,electronic,76
66,disco,folk,14
67,disco,indie,30
68,disco,jazz,38
69,disco,latin,8
70,disco,metal,8
71,disco,pop,132
72,disco,rap,9
73,disco,reggae,7
74,disco,rock,103
75,electronic,alternative,275
76,electronic,blues,32
77,electronic,country,5
78,electronic,dance,358
79,electronic,disco,76
80,electronic,electronic,982
81,electronic,folk,37
82,electronic,indie,149
83,electronic,jazz,257
84,electronic,latin,14
85,electronic,metal,75
86,electronic,pop,341
87,electronic,rap,51
88,electronic,reggae,22
89,electronic,rock,380
90,folk,alternative,121
91,folk,blues,47
92,folk,country,73
93,folk,dance,49
94,folk,disco,14
95,folk,electronic,37
96,folk,folk,471
97,folk,indie,127
98,folk,jazz,53
99,folk,latin,19
100,folk,metal,44
101,folk,pop,169
102,folk,rap,17
103,folk,reggae,5
104,folk,rock,247
105,indie,alternative,594
106,indie,blues,56
107,indie,country,43
108,indie,dance,138
109,indie,disco,30
110,indie,electronic,149
111,indie,folk,127
112,indie,indie,869
113,indie,jazz,85
114,indie,latin,8
115,indie,metal,87
116,indie,pop,524
117,indie,rap,61
118,indie,reggae,16
119,indie,rock,738
120,jazz,alternative,119
121,jazz,blues,135
122,jazz,country,13
123,jazz,dance,173
124,jazz,disco,38
125,jazz,electronic,257
126,jazz,folk,53
127,jazz,indie,85
128,jazz,jazz,1047
129,jazz,latin,44
130,jazz,metal,46
131,jazz,pop,204
132,jazz,rap,63
133,jazz,reggae,13
134,jazz,rock,238
135,latin,alternative,26
136,latin,blues,12
137,latin,country,2
138,latin,dance,46
139,latin,disco,8
140,latin,electronic,14
141,latin,folk,19
142,latin,indie,8
143,latin,jazz,44
144,latin,latin,231
145,latin,metal,8
146,latin,pop,92
147,latin,rap,16
148,latin,reggae,7
149,latin,rock,108
150,metal,alternative,242
151,metal,blues,38
152,metal,country,9
153,metal,dance,58
154,metal,disco,8
155,metal,electronic,75
156,metal,folk,44
157,metal,indie,87
158,metal,jazz,46
159,metal,latin,8
160,metal,metal,942
161,metal,pop,125
162,metal,rap,51
163,metal,reggae,8
164,metal,rock,572
165,pop,alternative,661
166,pop,blues,173
167,pop,country,113
168,pop,dance,450
169,pop,disco,132
170,pop,electronic,341
171,pop,folk,169
172,pop,indie,524
173,pop,jazz,204
174,pop,latin,92
175,pop,metal,125
176,pop,pop,1883
177,pop,rap,96
178,pop,reggae,42
179,pop,rock,1151
180,rap,alternative,102
181,rap,blues,35
182,rap,country,5
183,rap,dance,67
184,rap,disco,9
185,rap,electronic,51
186,rap,folk,17
187,rap,indie,61
188,rap,jazz,63
189,rap,latin,16
190,rap,metal,51
191,rap,pop,96
192,rap,rap,435
193,rap,reggae,26
194,rap,rock,144
195,reggae,alternative,34
196,reggae,blues,3
197,reggae,country,2
198,reggae,dance,70
199,reggae,disco,7
200,reggae,electronic,22
201,reggae,folk,5
202,reggae,indie,16
203,reggae,jazz,13
204,reggae,latin,7
205,reggae,metal,8
206,reggae,pop,42
207,reggae,rap,26
208,reggae,reggae,191
209,reggae,rock,73
210,rock,alternative,1113
211,rock,blues,305
212,rock,country,168
213,rock,dance,392
214,rock,disco,103
215,rock,electronic,380
216,rock,folk,247
217,rock,indie,738
218,rock,jazz,238
219,rock,latin,108
220,rock,metal,572
221,rock,pop,1151
222,rock,rap,144
223,rock,reggae,73
224,rock,rock,3514
