Genre,alternative,blues,country,dance,disco,electronic,folk,indie,jazz,latin,metal,pop,rap,reggae,rock
alternative,1.0,0.0,0.0235724301376,0.704461540948,0.696053741005,0.440556288249,0.0,0.805482448123,0.00396888101619,0.164796909714,0.85999418415,0.717907137044,0.356728719349,0.283022502862,0.795792939908
blues,0.0922820520121,1.0,0.737915004317,0.189436271175,0.179604391632,0.037142774777,0.730575901304,0.076969388092,0.714475693765,0.51680422836,0.18659387172,0.0549603347407,0.340645409478,0.409497919839,0.227559830937
country,0.0679978454532,0.724407040472,1.0,0.0,0.0,0.271111014268,0.919915706715,0.0641255150103,0.676845442816,0.505960544967,0.0,0.0889048262748,0.432986219316,0.490259330625,0.0204408556702
dance,0.722655670237,0.162004801948,0.0168304854505,1.0,0.90977918974,0.0835554679133,0.067833917192,0.568139591381,0.106938200832,0.457461845927,0.606989748807,0.632668217444,0.0268259924927,0.493859997557,0.549566451462
disco,0.709882661046,0.137320879037,0.0,0.908234735796,1.0,0.25262058152,0.124248958823,0.545161923305,0.203592332242,0.459503718073,0.67955318379,0.770976557007,0.107909211085,0.209090106844,0.659799197675
electronic,0.547810408807,0.142616472099,0.382767665156,0.210658271707,0.367109734797,1.0,0.461720895987,0.496496964452,0.463719740642,0.074060892437,0.493457276295,0.490681050249,0.75162253027,0.192670252171,0.482353017837
folk,0.0,0.703185224779,0.916098357182,0.00668267518315,0.082504845327,0.334047342592,1.0,0.017418189161,0.700963079761,0.566887543285,0.0172228172817,0.109727739815,0.472075192895,0.408157039538,0.00104017883111
indie,0.824387738971,0.0819608097455,0.114809460612,0.584535286324,0.569794487508,0.437614689899,0.112915971936,1.0,0.0,0.0950664576211,0.79176910799,0.756426232402,0.488536225099,0.255019576112,0.791464400483
jazz,0.100773811037,0.716019707784,0.694346452043,0.140843528877,0.246723204551,0.401004326356,0.730026677861,0.0,1.0,0.377850271138,0.084056919404,0.0915391299337,0.449923811794,0.39451605357,0.0880967745509
latin,0.270922274592,0.535320043605,0.548178920894,0.495330874812,0.505692084174,0.0,0.621921124981,0.125011421494,0.398437695829,1.0,0.251159886485,0.29349835172,0.0,0.423768348314,0.159063362414
metal,0.867834041119,0.154078521901,0.010999180219,0.604658754304,0.683077836072,0.408403697217,0.0722550493221,0.782267803108,0.0422636274506,0.19019417284,1.0,0.697238787365,0.443904816836,0.088641721388,0.925882706263
pop,0.752477334153,0.0864717338411,0.162451937222,0.656540055893,0.789464211268,0.447097510281,0.218829711387,0.76326779152,0.117056199404,0.289843089882,0.718583487409,1.0,0.311353359959,0.0196181566336,0.795682726892
rap,0.438466203524,0.365911540714,0.48144065085,0.0947532973726,0.184143252525,0.731756151456,0.539156138157,0.50546096437,0.468126266242,0.0,0.485770086953,0.314897905885,1.0,0.227680884413,0.494062374303
reggae,0.358298372179,0.417765246421,0.522030683494,0.517282557494,0.258386305504,0.106047575698,0.470294963707,0.261455893152,0.399747179808,0.409196596975,0.135941346028,0.0,0.208150471472,1.0,0.0
rock,0.817232753613,0.238374382413,0.0814952723562,0.570411092742,0.681003391074,0.426811936657,0.105921530411,0.793266060218,0.0959752342807,0.137797748942,0.929729404379,0.791594189049,0.481268218943,0.0,1.0
