Genre,alternative,blues,country,dance,disco,electronic,folk,indie,jazz,latin,metal,pop,rap,reggae,rock
alternative,1.0,0.392975902976,0.780448668601,0.179622605034,0.178635784701,0.145182954445,0.762204287604,0.932140001831,0.304335114708,0.344515717651,0.456296247305,0.812675935251,0.107874252326,0.0331584386599,0.747676860813
blues,0.343014816013,1.0,0.690783796378,0.12594983717,0.169123684494,0.353142157322,0.725670696857,0.564394351754,0.834757593984,0.42953440297,0.054613489999,0.130706364602,0.583445854885,0.419385545213,0.169601285188
country,0.732377643818,0.651743753693,1.0,0.0,0.0,0.0155746365943,0.905985005781,0.812697291114,0.443030189263,0.601437900842,0.405290935741,0.455374139153,0.12907065459,0.115832081789,0.641976495601
dance,0.0,0.015596772661,0.0,1.0,0.970036360719,0.762971375627,0.0,0.0,0.309019722112,0.0322032853446,0.540706090535,0.327769217286,0.42655383451,0.456811344542,0.354752698406
disco,0.0322669074681,0.0955042097717,0.0334295813153,0.971038032635,1.0,0.782072554366,0.0459714257995,0.0382524157697,0.354803302731,0.0,0.503359957929,0.339252629768,0.41572669322,0.377598277787,0.344206268335
electronic,0.0718773905896,0.351079666581,0.123143231908,0.788871598357,0.799171986428,1.0,0.15566723509,0.186649589801,0.683516645915,0.167095653577,0.213035839787,0.155897196389,0.45339938129,0.464367071522,0.0752815211547
folk,0.716696221528,0.698025060254,0.908111924481,0.0226231859893,0.035305250086,0.0735333064726,1.0,0.836380139076,0.598061023783,0.580753781257,0.344041415276,0.415121601959,0.165313531965,0.0147771360895,0.551496782902
indie,0.926675806184,0.565112112957,0.833968230414,0.113564504362,0.117987494728,0.190570619192,0.851604365445,1.0,0.475276887304,0.434397033862,0.26164821503,0.722726003819,0.180578940314,0.131369416172,0.577384937605
jazz,0.183186842957,0.820735411627,0.463502153067,0.334417370182,0.357023702619,0.657751671104,0.603873025173,0.429810279556,1.0,0.439566217687,0.0,0.0,0.571065726655,0.421031930242,0.0
latin,0.396724818681,0.514898082767,0.699071819555,0.269279981723,0.218851933826,0.293981426728,0.676127567034,0.518239263923,0.560706436257,1.0,0.277106709782,0.331258426591,0.245796965794,0.329665921653,0.387537292232
metal,0.377552719695,0.0,0.441454591437,0.568635287858,0.517427954299,0.17021989347,0.369669508312,0.217705784162,0.0249708478724,0.10078972596,1.0,0.345059480315,0.0622986431832,0.057628644206,0.890627091053
pop,0.817776856646,0.218683822218,0.56536779265,0.463534198531,0.454461268241,0.243736526599,0.522440822771,0.750376395757,0.171509908819,0.293169783319,0.443491787207,1.0,0.295938784098,0.169091264364,0.684654472534
rap,0.0731827062036,0.600156655464,0.257725289459,0.511263928879,0.484813723201,0.476994813899,0.272147998163,0.212153294265,0.620478693876,0.148659775026,0.149072897537,0.248085403816,1.0,0.745264107386,0.115199391357
reggae,0.0320958978287,0.462949383985,0.273851478923,0.553890578133,0.471155501751,0.506130611046,0.172128076254,0.195217205832,0.506361538614,0.270852919026,0.175939963431,0.144893154102,0.754529613575,1.0,0.147382235445
rock,0.703735427399,0.0991350986422,0.655135995599,0.378469386722,0.346463137186,0.0,0.55798209902,0.540765865935,0.0,0.218643703961,0.887826011449,0.61937320576,0.0,0.0,1.0
