Genre,alternative,blues,country,dance,disco,electronic,folk,indie,jazz,latin,metal,pop,rap,reggae,rock
alternative,1.0,0.0,0.32937093058,0.226174560512,,0.939090453849,0.0617695279681,0.489552467224,0.0,,0.934971539733,0.0,0.691796765776,,0.0542980967714
blues,0.0,1.0,0.2762266021,0.592710984653,,0.0157618413439,0.73259363374,0.138523698109,0.759639508685,,0.0942064779101,0.934657992672,0.127239414875,,0.704219570242
country,0.428888177588,0.383630142001,1.0,0.084493629419,,0.458092472049,0.554791864562,0.222849213348,0.630694807574,,0.334980912328,0.336669270162,0.563626442778,,0.205797529126
dance,0.280185802844,0.621138824557,0.0,1.0,,0.213287315958,0.568744439251,0.258502982389,0.424679398605,,0.23116348766,0.765456716608,0.0,,0.852788703588
disco,,,,,,,,,,,,,,,
electronic,0.941468178079,0.0541835185045,0.388504750648,0.1872716182,,1.0,0.00806965849063,0.500995161765,0.0864016828123,,0.897077130386,0.0475899265825,0.668411632737,,0.0321651236498
folk,0.0910603719806,0.740941857759,0.493534554462,0.550858890752,,0.0,1.0,0.278604939885,0.644803540442,,0.0,0.665142207147,0.227859603256,,0.54913158648
indie,0.573346755056,0.279942332867,0.237235522976,0.333721272695,,0.565967728834,0.37759710532,1.0,0.0814878895586,,0.534935744121,0.2207081794,0.672910674121,,0.0816750106207
jazz,0.0900048928029,0.78127312894,0.605374000114,0.437177335475,,0.134857456412,0.666356874277,0.0,1.0,,0.114902808512,0.775314245691,0.184517356997,,0.619798743528
latin,,,,,,,,,,,,,,,
metal,0.93700167896,0.122484664938,0.24347925898,0.199277376544,,0.896239821178,0.0,0.460968032612,0.0577255620062,,1.0,0.104667521516,0.663878349086,,0.0663003778631
pop,0.00684085428049,0.935104987823,0.226411174775,0.749582634813,,0.0156803674556,0.656715849599,0.0740340430991,0.754780316905,,0.082137385595,1.0,0.057321300616,,0.884111419185
rap,0.713308645228,0.188156103647,0.523352790058,0.0,,0.679025883373,0.258607522407,0.635984536663,0.166408898981,,0.677263274147,0.117078173982,1.0,,0.0
reggae,,,,,,,,,,,,,,,
rock,0.161587744221,0.737775786976,0.17320886167,0.85969695802,,0.10711003097,0.587401483824,0.0259621945909,0.629594142735,,0.145553187813,0.896551272397,0.0469274749953,,1.0
